"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Female <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","164.8",""
"Afghanistan","Female <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","166.8",""
"Afghanistan","Female <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","167.2",""
"Afghanistan","Female <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","173.9",""
"Afghanistan","Male <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","171.2",""
"Afghanistan","Male <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","174.1",""
"Afghanistan","Male <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","174.7",""
"Afghanistan","Male <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","179.6",""
"Albania","Female <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","19.0",""
"Albania","Female <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","22.6",""
"Albania","Female <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","24.5",""
"Albania","Female <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","31.2",""
"Albania","Male <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","24.1",""
"Albania","Male <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","32.7",""
"Albania","Male <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","36.5",""
"Albania","Male <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","44.3",""
"Algeria","Female <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","36.3",""
"Algeria","Female <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","45.4",""
"Algeria","Female <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","52.4",""
"Algeria","Female <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","63.3",""
"Algeria","Male <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","38.4",""
"Algeria","Male <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","48.1",""
"Algeria","Male <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","55.9",""
"Algeria","Male <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","67.0",""
"Angola","Female <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","128.9",""
"Angola","Female <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","136.2",""
"Angola","Female <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","142.5",""
"Angola","Female <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","147.2",""
"Angola","Male <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","152.2",""
"Angola","Male <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","159.3",""
"Angola","Male <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","167.0",""
"Angola","Male <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","172.5",""
"Argentina","Female <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","13.0",""
"Argentina","Female <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","19.4",""
"Argentina","Female <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","21.6",""
"Argentina","Female <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","24.1",""
"Argentina","Male <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","17.0",""
"Argentina","Male <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","24.2",""
"Argentina","Male <1 yr","1990-1995","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","27.0",""
"Argentina","Male <1 yr","1985-1990","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","30.0",""
"Armenia","Female <1 yr","2000-2005","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","28.1",""
"Armenia","Female <1 yr","1995-2000","UNPD_World Population Prospects_2006 (International estimate)","Deaths per 1000 live births","31.7",""
