"Country","Subgroup","Year","Unit","Value","Value Footnotes"
"Afghanistan","Female","2005","Number","12082881",""
"Afghanistan","Female","2002","Number","9844300","1"
"Afghanistan","Female","2000","Number","9993697",""
"Afghanistan","Female","1995","Number","8792425",""
"Afghanistan","Female","1990","Number","6091918",""
"Afghanistan","Female","1985","Number","5933958",""
"Afghanistan","Male","2005","Number","12984526",""
"Afghanistan","Male","2002","Number","10453500","1"
"Afghanistan","Male","2000","Number","10743556",""
"Afghanistan","Male","1995","Number","9463212",""
"Afghanistan","Male","1990","Number","6567417",""
"Afghanistan","Male","1985","Number","6399147",""
"Albania","Female","2005","Number","1582647",""
"Albania","Female","2004","Number","1568887","2"
"Albania","Female","2003","Number","1560435","2"
"Albania","Female","2002","Number","1551254","2"
"Albania","Female","2001","Number","1538800","2"
"Albania","Female","2000","Number","1547400",""
"Albania","Female","1995","Number","1561764",""
"Albania","Female","1991","Number","1603741","2"
"Albania","Female","1990","Number","1581570","2"
"Albania","Female","1990","Number","1602429",""
"Albania","Female","1989","Number","1543500","2"
"Albania","Female","1989","Number","1552900","2"
"Albania","Female","1988","Number","1522000","2"
"Albania","Female","1987","Number","1491900","2"
"Albania","Female","1986","Number","1462900","2"
"Albania","Female","1985","Number","1431400","2"
"Albania","Female","1985","Number","1432470",""
"Albania","Male","2005","Number","1571084",""
"Albania","Male","2004","Number","1558376","2"
"Albania","Male","2003","Number","1550728","2"
"Albania","Male","2002","Number","1542211","2"
"Albania","Male","2001","Number","1530500","2"
"Albania","Male","2000","Number","1532666",""
"Albania","Male","1995","Number","1588195",""
"Albania","Male","1991","Number","1651254","2"
"Albania","Male","1990","Number","1674321","2"
"Albania","Male","1990","Number","1687047",""
"Albania","Male","1989","Number","1638900","2"
"Albania","Male","1989","Number","1646300","2"
"Albania","Male","1988","Number","1616100","2"
"Albania","Male","1987","Number","1584200","2"
"Albania","Male","1986","Number","1553300","2"
"Albania","Male","1985","Number","1526000","2"
"Albania","Male","1985","Number","1524925",""
"Algeria","Female","2005","Number","16271141",""
"Algeria","Female","2003","Number","15757427","3"
"Algeria","Female","2002","Number","15501690","3"
"Algeria","Female","2001","Number","15273473","3"
"Algeria","Female","2000","Number","15059000","3"
"Algeria","Female","2000","Number","15114048",""
"Algeria","Female","1999","Number","14833000","3"
"Algeria","Female","1998","Number","14402278","4"
"Algeria","Female","1998","Number","14550451","3"
"Algeria","Female","1997","Number","14322388","3"
"Algeria","Female","1996","Number","14086188","3"
"Algeria","Female","1995","Number","13836674","3"
"Algeria","Female","1995","Number","14007922",""
"Algeria","Female","1990","Number","12546860",""
"Algeria","Female","1985","Number","10984979",""
"Algeria","Male","2005","Number","16583018",""
"Algeria","Male","2003","Number","16090568","3"
"Algeria","Male","2002","Number","15830343","3"
"Algeria","Male","2001","Number","15598261","3"
"Algeria","Male","2000","Number","15357000","3"
"Algeria","Male","2000","Number","15392006",""
"Algeria","Male","1999","Number","15132000","3"
"Algeria","Male","1998","Number","14698589","4"
"Algeria","Male","1998","Number","14957049","3"
"Algeria","Male","1997","Number","14722612","3"
"Algeria","Male","1996","Number","14479812","3"
"Algeria","Male","1995","Number","14223326","3"
"Algeria","Male","1995","Number","14257369",""
"Algeria","Male","1990","Number","12735655",""
"Algeria","Male","1985","Number","11112364",""
"American Samoa","Female","2000","Number","28027","5"
"American Samoa","Female","1990","Number","22750","5"
"American Samoa","Male","2000","Number","29264","5"
"American Samoa","Male","1990","Number","24023","5"
"Andorra","Female","2003","Number","33582","6"
"Andorra","Female","2002","Number","31863","6"
"Andorra","Female","2001","Number","31731","6"
"Andorra","Female","2000","Number","31745","7"
"Andorra","Female","2000","Number","31745","6"
"Andorra","Female","1999","Number","31557","4"
"Andorra","Female","1998","Number","31461","4"
"Andorra","Female","1997","Number","32705","4"
"Andorra","Male","2003","Number","36258","6"
"Andorra","Male","2002","Number","34257","6"
"Andorra","Male","2001","Number","34356","6"
"Andorra","Male","2000","Number","34344","7"
"Andorra","Male","2000","Number","34344","6"
"Andorra","Male","1999","Number","34351","4"
"Andorra","Male","1998","Number","34463","4"
"Andorra","Male","1997","Number","34387","4"
"Angola","Female","2005","Number","8161644",""
"Angola","Female","2000","Number","7066278",""
"Angola","Female","1995","Number","6248149",""
"Angola","Female","1990","Number","5346200",""
"Angola","Female","1985","Number","4710588",""
